Title,Author,ISBN-13,Year,Original Publisher,Updated Edition,Publisher/Stable URL,MLA 8 Citation,Free Online Copy,Buy,Google Books,Goodreads,WorldCat,Horror Lex Summary,Films Discussed,Tags,HL Recommended,Photo
The Wrong House: The Architecture of Alfred Hitchcock,"Jacobs, Steven",9789462080966 (paperback),2007,010 Publishers,"nai010 Publishers (reprint, 2013)",https://www.nai010.com/en/publicaties/the-wrong-house/141156,"Jacobs, Steven. The Wrong House: The Architecture of Alfred Hitchcock. 2007. Nai010 Publishers, 2013.","https://archive.org/details/TheWrongHouseTheArchitectureOfAlfredHitchcock/

https://api.semanticscholar.org/CorpusID:193662730",,https://books.google.com/books/about/The_Wrong_House.html?id=rIDVqjD6SZIC,https://www.goodreads.com/en/book/show/3562159,http://www.worldcat.org/oclc/175647408,,"The Birds (1963)
Dial M for Murder (1954)
Frenzy (1972)
Psycho (1960)
Rear Window (1954)
Rebecca (1940)
Shadow of a Doubt (1943)
Suspicion (1941)
Vertigo (1958)","apartment, architecture, cities, haunted house, haunting, Hitchcock, urban",,JACSTE2007
The Horror Film,"Butler, Ivan",N/A,1967,A.S. Barnes,,Out of print,"Butler, Ivan. The Horror Film. A.S. Barnes, 1967.",https://archive.org/details/horrorincinema00butl [Internet Archive Lending Library],,https://books.google.com/books/about/The_Horror_Film.html?id=A7wqAQAAIAAJ,https://www.goodreads.com/book/show/3575426-the-horror-film,http://www.worldcat.org/oclc/925832598,,,,,BUTIVA1967
The Cinema of John Frankenheimer,"Pratley, Gerald","9780302020005 (hardcover)
9780498074134 (paperback)",1969,A.S. Barnes,,Out of print,"Pratley, Gerald. The Cinema of John Frankenheimer. A.S. Barnes, 1969.",https://archive.org/details/cinemaofjohnfran00prat [Internet Archive Lending Library],,https://www.google.com/books/edition/The_Cinema_of_John_Frankenheimer/KWpBAQAAIAAJ?hl=en&kptab=overview,https://www.goodreads.com/book/show/1535092.The_Cinema_of_John_Frankenheimer_,http://www.worldcat.org/oclc/933943846,,Seconds (1966),,,
The Cinema of Roman Polanski,"Butler, Ivan","9780498077128 (hardcover)
9780302020616 (paperback)",1970,A.S. Barnes,,Out of print,"Butler, Ivan. The Cinema of Roman Polanski. A.S. Barnes, 1970.",https://archive.org/details/cinemaofromanpol0000butl [Internet Archive Lending Library],,https://www.google.com/books/edition/The_Cinema_of_Roman_Polanski/kwqKQgAACAAJ?hl=en,https://www.goodreads.com/book/show/40873373-the-cinema-of-roman-polanski,http://www.worldcat.org/oclc/1113046543,,"The Fearless Vampire Killers (a.k.a. Dance of the Vampires) (1967)
Repulsion (1965)
Rosemary's Baby (1968)",Roman Polanski,,BUTIVA1970
"Faces, Forms, Films: The Artistry of Lon Chaney","Anderson, Robert G.",9780498077265 (hardcover),1971,A.S. Barnes,,Out of print,"Anderson, Robert G. Faces, Forms, Films: The Artistry of Lon Chaney. A.S. Barnes, 1971.",https://archive.org/details/facesformsfilms00ande [Internet Archive Lending Library],,https://www.google.com/books/edition/Faces_Forms_Films/YYdZAAAAMAAJ?kptab=editions&sa=X&ved=2ahUKEwjhobC7h6PrAhVaknIEHcOoCeEQmBYwAHoECAIQBg,https://www.goodreads.com/book/show/955715.Faces_forms_films_?ac=1&from_search=true&qid=tueW5Uq8Ni&rank=1,http://www.worldcat.org/oclc/1113665586,,,"Lon Chaney, classics, biography",,
The Cinema of Carl Dreyer,"Milne, Tom","9780498077111 (paperback)
9780302020579 (paperback)",1971,A.S. Barnes,,Out of print,"Milne, Tom. The Cinema of Carl Dreyer. A.S. Barnes, 1971.",https://archive.org/details/cinemaofcarldrey0000miln [Internet Archive Lending Library],,https://www.google.com/books/edition/The_Cinema_of_Carl_Dreyer/WMFZAAAAMAAJ?kptab=editions&sa=X&ved=2ahUKEwjvieTah6PrAhWygnIEHRuaBkAQmBYwAHoECAEQBg,https://www.goodreads.com/book/show/1084500.The_Cinema_of_Carl_Dreyer,http://www.worldcat.org/oclc/894209338,,Vampyr (1932),vampires,,
Boris Karloff and His Films,"Jensen, Paul M.",9780498013249 (hardcover),1974,A.S. Barnes,,Out of print,"Jensen, Paul M. Boris Karloff and His Films. A.S. Barnes, 1974.",https://archive.org/details/boriskarloffhisf00jens [Internet Archive Lending Library],,https://www.google.com/books/edition/Boris_Karloff_and_His_Films/k3FZAAAAMAAJ?kptab=editions&sa=X&ved=2ahUKEwif8KyHiKPrAhVcj3IEHQSOC1wQmBYwAHoECAQQBw,https://www.goodreads.com/book/show/925391.Boris_Karloff_And_His_Films,http://www.worldcat.org/oclc/937329872,,,"Boris Karloff, classics, Frankenstein, biography",,JENPAU1974
The Making of King Kong,"Goldner, Orville and George E. Turner; Michael H. Price (Ed., expanded ed.)","9781683901549 (paperback, 2018)
9780345258267 (paperback, 1976)
9780498015106 (hardcover, 1975)",1975,A.S. Barnes,"Ballantine Books (reprint, 1976)
Pulp Hero Press (expanded ed., 2018)",N/A - under construction,"Price, Michael H., editor. The Making of King Kong. Expanded ed. By Orville Goldner and George E. Turner. 1975. Pulp Hero Press, 2018.","https://archive.org/details/makingofkingkong0000unse [Internet Archive Lending Library, 1976 edition]",,https://www.google.com/books/edition/The_Making_of_King_Kong/D64kvAEACAAJ?hl=en,https://www.goodreads.com/book/show/42360417-the-making-of-king-kong,http://www.worldcat.org/oclc/1076545309,,King Kong (1933),"King Kong, classics",,
Forgotten Horrors: Early Talkie Chillers from Poverty Row,"Turner, George E. and Michael H. Price","9780498021367 (hardcover)
9780913035078 (paperback)",1979,A.S. Barnes,Eclipse Books (1986),Out of print,"Turner, George E., and Michael H. Price. Forgotten Horrors: Early Talkie Chillers from Poverty Row. 1979. Eclipse Books, 1986.",,,https://www.google.com/books/edition/_/slfnAAAACAAJ?sa=X&ved=2ahUKEwil5sSyiqPrAhWDlHIEHZY0AfMQ8fIDMBJ6BAgPEAQ,https://www.goodreads.com/book/show/1351577.Forgotten_Horrors,https://www.worldcat.org/title/forgotten-horrors-early-talkie-chillers-from-poverty-row/oclc/17239916&referer=brief_results,,,classics,,
"Screening Space: The American Science Fiction Film (prior title: The Limits of Infinity: The American Science Fiction Film, 1950-75)","Sobchack, Vivian","9780813524924 (paperback)
9780813558509 (ebook)",1980,A.S. Barnes,"Rutgers University Press (2nd ed., 1997)",https://www.rutgersuniversitypress.org/screening-space/9780813524924,"Sobchack, Vivian. Screening Space: The American Science Fiction Film. 1980. 2nd ed., Rutgers UP, 1997.","https://archive.org/details/limitsofinfinity00viv_lf2 [Internet Archive Lending Library, 1980 edition]",,https://www.google.com/books/edition/Screening_Space/8PPm-qt_YLkC?kptab=editions&sa=X&ved=2ahUKEwjs_LWlk4DsAhVnUN8KHcb2CwIQmBYwAHoECAAQCA,https://www.goodreads.com/book/show/753861.Screening_Space,http://www.worldcat.org/oclc/613309144,,"(Partial list)

4D Man (1959)
2001: A Space Odyssey (1968)
The Amazing Collosal Man (1957)
The Andromeda Strain (1971)
The Angry Red Planet (1959)
The Beast from 20,000 Fathoms (1953)
A Clockwork Orange (1971)
The Creation of the Humanoids (1962)
The Day of the Dolphin (1973)
The Day the Earth Stood Still (1951)
Destination Moon (1950)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Earth vs. the Flying Saucers (1956)
Fantastic Voyage (1966)
Five (1951)
Forbidden Planet (1956)
Frogs (1972)
The Groundstar Conspiracy (1972)
The Incredible Shrinking Man (1957)
Invaders from Mars (1953)
Invasion of the Body Snatchers (1956)
It Came From Outer Space (1953)
Marooned (1969)
The Monitors (1969)
Night of the Living Dead (1968)
Planet of the Apes (series)
Seconds (1966)
Silent Running (1972)
Sleeper (1973)
Soylent Green (1973)
The Space Children (1958)
Tarantula (1955)
The Thing from Another World (1951)
This Island Earth (1955)
THX 1138 (1971)
The War of the Worlds (1953)
Westworld (1973)
When Worlds Collide (1951)
Wild in the Streets (1968)
Zardoz (1974)","science fiction, sci fi, aliens, monsters, science, technology, robots",,SOBVIV1980
The World of Fantasy Films,"Meyers, Richard",9780498022135 (hardcover),1980,A.S. Barnes,,Out of print,"Meyers, Richard. The World of Fantasy Films. A.S. Barnes, 1980.",,,https://www.google.com/books/edition/The_World_of_Fantasy_Films/S31ZAAAAMAAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/3064425-the-world-of-fantasy-films,http://www.worldcat.org/oclc/300178793,,,,,
Who's Who of the Horrors and Other Fantasy Films: The International Personality Encyclopedia of the Fantastic Film,"Hogan, David J.","9780498024757 (hardcover)
9780498025914 (paperback)",1980,A.S. Barnes,,Out of print,"Hogan, David J. Who's Who of the Horrors and Other Fantasy Films: The International Personality Encyclopedia of the Fantastic Film. A.S. Barnes, 1980.",https://archive.org/details/whoswhoofhorrors0000hoga [Internet Archive Lending Library],,https://www.google.com/books/edition/Who_s_who_of_the_Horrors_and_Other_Fanta/-aYqAAAAYAAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/1505840.Who_s_Who_of_the_Horrors_and_Other_Fantasy_Films,http://www.worldcat.org/oclc/916145344,,,,,
It's Alive! The Classic Cinema Saga of Frankenstein,"Mank, Gregory William","9780498024733 (hardcover)
9780498025921 (paperback)",1981,A.S. Barnes,,Out of print,"Mank, Gregory William. It's Alive! The Classic Cinema Saga of Frankenstein. A.S. Barnes, 1981.",,,https://www.google.com/books/edition/It_s_Alive_/K6UqAAAAYAAJ?kptab=editions&sa=X&ved=2ahUKEwiho9aLjKPrAhXQknIEHfaCC6UQmBYwAHoECAIQBw,https://www.goodreads.com/book/show/1147864.It_s_Alive_,http://www.worldcat.org/oclc/6942560,,"Abbott and Costello Meet Frankenstein (1948)
The Bride of Frankenstein (1935)
Frankenstein (1931)
Frankenstein Meets the Wolf Man (1943)
The Ghost of Frankenstein (1942)
House of Dracula (1945)
House of Frankenstein (1944)
Son of Frankenstein (1939)","Frankenstein, James Whale, classics, Boris Karloff, Bela Lugosi, Universal",,MANGRE1981
Boyhood in America: An Encyclopedia,"Clement, Priscilla Ferguson and Jacqueline S. Reinier (Eds.)","9781576072158 (hardcover)
9781576075401 (ebook)",2001,ABC-CLIO,,https://products.abc-clio.com/abc-cliocorporate/product.aspx?pc=A1759C,"Clement, Priscilla Ferguson and Jacqueline S. Reinier, editors. Boyhood in America: An Encyclopedia. 2 vols. ABC-CLIO, 2001.","https://epdf.pub/queue/boyhood-in-america-an-encyclopedia-2-volumes-the-american-family.html

https://archive.org/details/boyhoodinamerica0000unse [Internet Archive Lending Library]",,https://www.google.com/books/edition/Boyhood_in_America/IyTFVN0ugscC?hl=en&gbpv=0,https://www.goodreads.com/book/show/1983350.Boyhood_in_America,http://www.worldcat.org/oclc/615152136,"An encyclopedia-type reference book with an alphabetical listing of entries covering what it means to be a boy child in America, from A (Abuse, Adoption, Allowances) to Z, er, Y (YMCA). Horror cinema is addressed briefly in two entries: Films, by Kathy Merlock Jackson, in which she rattles off some of the key ""boy-as-monster"" flicks, and Horror Movies, by Harry Benshoff, an overarching look at a genre that serves as a rite of passage for many an American boy.","Merlock Jackson, Kathy - Films
・Children of the Corn (1984)
・Damien: Omen II (1978)
・The Final Conflict [The Omen III] (1981)
・Halloween (1978)
・The Omen (1976)
・The Other (1972)
・The Shining (1980)
・Village of the Damned (1960)

Benshoff, Harry - Horror Movies
・This entry surveys major horror films, but discusses none in-depth.","boys, child, children, childhood, masculinity, male, gender",,CLEPRI2001
Encyclopedia of Religion and Film,"Mazur, Eric Michael (Ed.)","9780313330728 (hardcover)
9780313013980 (ebook)",2011,ABC-CLIO,,https://products.abc-clio.com/ABC-CLIOCorporate/product.aspx?pc=B3253C,"Mazur, Eric Michael, editor. Encyclopedia of Religion and Film. ABC-CLIO, 2011.","https://epdf.pub/encyclopedia-of-religion-and-film.html

https://archive.org/details/encyclopediaofre0000unse_i3u4 [Internet Archive Lending Library]",,https://www.google.com/books/edition/_/JPNfox6H5qwC?gbpv=0,https://www.goodreads.com/book/show/10993418-encyclopedia-of-religion-and-film,http://www.worldcat.org/oclc/639162729,"An encyclopedia-type reference book with an alphabetical listing of entries covering all manner of religious narratives and imagery in the cinema. Horror gets its own entry (authored by Brian Wilson, with major films indexed here), but several other entries also discuss films in the horror genre, including Belief, Catholicism, Clergy, Devil, Myth, Stanley Kubrick, Vampires, and Voodoo. ","Wilson, Brian - Horror
・The Exorcist (1973)
・The Incredible Shrinking Man (1957)
・Night of the Living Dead (1968)
・The Omen (1976)
・Rosemary's Baby (1968)
・White Zombie (1932)
・X: The Man with the X-Ray Eyes (1963)

Other films with significant discussion in other entries:
・Blacula (1972)
・Bram Stoker's Dracula (1992)
・The Bride of Frankenstein (1935)
・The Brides of Dracula (1960)
・Dracula 2000 (2000)
・Frankenstein (1931)
・The Legend of the 7 Golden Vampires (1974)
・The Serpent and the Rainbow (1988)
・The Shining (1980)
・The Skeleton Key (2005)
・Sugar Hill (1974)
・Subspecies (1991)","religion, monsters, Catholic, Catholicism, voodoo, zombies, devil, Satan, Stanley Kubrick, vampires, Frankenstein, blaxploitation, Dracula",,MAZERI2011
"Mummies Around the World: An Encyclopedia of Mummies in History, Religion, and Popular Culture","Cardin, Matt (Ed.)","9781610694193 (hardcover)
9781610694209 (ebook)",2015,ABC-CLIO,,https://products.abc-clio.com/abc-cliocorporate/product.aspx?pc=A4116C,"Cardin, Matt, editor. Mummies Around the World: An Encyclopedia of Mummies in History, Religion, and Popular Culture. ABC-CLIO, 2015.",https://archive.org/details/mummiesaroundtheworldanencyclopediaofmummiesinhistoryreligionandpopularculturemattcardin2014/mode/2up,,https://www.google.com/books/edition/Mummies_around_the_World_An_Encyclopedia/AWJhBQAAQBAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/20862635-mummies-around-the-world,http://www.worldcat.org/oclc/870699556,,,mummy,,
The World of IT,"Wax, Alyse","9781419740473 (hardcover)
9781683357551 (ebook)",2019,Abrams Books,,https://abramsbooks.com/product/world-of-it_9781419740473/,"Wax, Alyse. The World of IT. Abrams Books, 2019.",,,https://books.google.com/books/about/You_ll_Float_Too_The_World_of_IT.html?id=FkiJDwAAQBAJ,https://www.goodreads.com/book/show/43909019-you-ll-float-too,http://www.worldcat.org/oclc/1122769663,,"It (2017)
It: Chapter Two (2019)","Stephen King, clowns",,WAXALY2019
Boris Karloff: The Frankenscience Monster,"Ackerman, Forrest J.",9781041251309 (paperback),1969,Ace Books,,Out of print,"Ackerman, Forrest J. Boris Karloff: The Frankenscience Monster. Ace Books, 1969.",,,https://www.google.com/books/edition/The_Frankenscience_Monster/Yg8_AAAAIAAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/2002705.The_Frankenscience_Monster,http://www.worldcat.org/oclc/5465949,,,"classics, Frankenstein, Boris Karloff, biography",,ACKFOR1969
"The Scream Queen's Survival Guide: Avoid Machetes, Defeat Evil Children, Steer Clear of Bloody Dismemberment, and Conquer Other Horror Movie Clichés","O’Hayre, Meredith","9781440506093 (paperback)
9781440508646 (ebook)",2010,Adams Media,,https://www.simonandschuster.com/books/The-Scream-Queens-Survival-Guide/Meredith-OHayre/9781440508646,"O’Hayre, Meredith. The Scream Queen's Survival Guide: Avoid Machetes, Defeat Evil Children, Steer Clear of Bloody Dismemberment, and Conquer Other Horror Movie Clichés. Adams Media, 2010.",,,https://www.google.com/books/edition/The_Scream_Queen_s_Survival_Guide/K8PrDQAAQBAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/8073375-the-scream-queen-s-survival-guide,http://www.worldcat.org/oclc/548651217,,,,,OHAMER2010
Mayhem: Violence as Public Entertainment,"Bok, Sissela","9780201489798 (hardcover)
9780738201450 (paperback)",1998,Addison Wesley Longman/Basic Books (1998),Perseus Books (1999),https://www.perseusbooks.com/titles/sissela-bok/mayhem/9780738201450/,"Bok, Sissela. Mayhem: Violence as Public Entertainment. 1998. Perseus Books, 1999.",https://archive.org/details/mayhemviolenceas00boks [Internet Archive Lending Library],,https://www.google.com/books/edition/Mayhem/9wn5swEACAAJ?hl=en,https://www.goodreads.com/book/show/855751.Mayhem,http://www.worldcat.org/oclc/632860871,"Bok sketches the history of violent entertainment from Roman gladiatorial games to modern screens, along with related observations from philosophy, social science, and law. In Part One, Bok gives the lightest of skimmings to the horror genre, briefly mentioning ""violent movies"" and lumping together James Bond with Lethal Weapon 3 and a Chucky sequel. If an in-depth analysis of horror movie violence and its social consequences is what you crave, this is not the book you're looking for.",Child's Play 3 (1991),violence,,BOKSIS1998
Dear Boris: The Life of William Henry Pratt a.k.a. Boris Karloff,"Lindsay, Cynthia","9780394475790 (hardcover, 1975)
9780879101060 (paperback, 1995)",1975,Alfred A. Knopf,Limelight Editions (1995),http://www.globepequot.com/books/9780879101060,"Lindsay, Cynthia. Dear Boris: The Life of William Henry Pratt a.k.a. Boris Karloff. 1975. Limelight Editions, 1995.",https://archive.org/details/dearborislifeofw00lind/mode/2up [Internet Archive Lending Library],,https://www.google.com/books/edition/Dear_Boris/hCwwSbrQ_y0C?hl=en&gbpv=0,https://www.goodreads.com/book/show/5090530-dear-boris,http://www.worldcat.org/oclc/636034127,,,"Boris Karloff, classics, biography",,
Cronenberg on Cronenberg,"Rodley, Chris (Ed.)",9780571191376 (paperback),1992,Alfred A. Knopf,"Faber & Faber (2nd ed., 1997)",https://www.allenandunwin.com/browse/books/general-books/performing-arts/Cronenberg-on-Cronenberg-new-edition-Chris-Rodley-9780571191376,"Rodley, Chris, editor. Cronenberg on Cronenberg. 1992. 2nd ed., Faber & Faber, 1997.",,,https://www.google.com/books/edition/Cronenberg_on_Cronenberg/JMSqQwAACAAJ?hl=en,https://www.goodreads.com/book/show/535504.Cronenberg_on_Cronenberg,http://www.worldcat.org/oclc/1050337968,,,David Cronenberg,,
"Hostile Aliens, Hollywood and Today's News: 1950s Science Fiction Films and 9/11","Matthews, Melvin E., Jr.","9780875864983 (hardcover)
9780875864976 (paperback)
9780875864990 (ebook)",2007,Algora Publishing,,https://www.algora.com/139/book/details.html,"Matthews, Melvin E., Jr. Hostile Aliens, Hollywood and Today's News: 1950s Science Fiction Films and 9/11. Algora, 2007.",,,https://www.google.com/books/edition/1950s_Science_Fiction_Films_and_9_11/2du2fVYT8ewC?kptab=editions&sa=X&ved=2ahUKEwim_-6biOfrAhXfoXIEHcotDMsQmBYwAHoECAMQCA,https://www.goodreads.com/book/show/1926411.Hostile_Aliens_Hollywood_and_Today_s_News,http://www.worldcat.org/oclc/77572822,,,"aliens, sci fi, science fiction, 1950s, 9/11",,
Splatter Flicks: How to Make Low-Budget Horror Films,"Caldwell, Sara","9781581154436 (paperback)
9781581158472 (ebook)",2006,Allworth Press,,https://www.skyhorsepublishing.com/allworth-press/9781581158472/splatter-flicks/,"Caldwell, Sara. Splatter Flicks: How to Make Low-Budget Horror Films. Allworth Press, 2006.",https://archive.org/details/splatterflicksho0000cald [Internet Archive Lending Library],,https://books.google.com/books?id=Ax2LDUYCBIMC&newbks=0&hl=en&source=newbks_fb,https://www.goodreads.com/book/show/293226.Splatter_Flicks,http://www.worldcat.org/oclc/475837108,,,"business, distribution, marketing, score, soundtrack, cinematography",,
Horror as Pleasure: The Aesthetics of Horror Fiction,"Leffler, Yvonne",9789122018995 (paperback),2000,Almqvist & Wiksell,,,"Leffler, Yvonne. Horror as Pleasure: The Aesthetics of Horror Fiction. Almqvist & Wiksell, 2000.",,,https://www.google.com/books/edition/Horror_as_Pleasure/rddlQgAACAAJ?hl=en,https://www.goodreads.com/book/show/6018540-horror-as-pleasure,http://www.worldcat.org/oclc/1169971627,,,,,
The Last Great American Picture Show: New Hollywood Cinema in the 1970s,"Elsaesser, Thomas, Alexander Horwath, and Noel King (Eds.)","9789053564936 (hardcover)
9789053566312 (paperback)
9789048503681 (ebook)",2004,Amsterdam University Press,,https://www.aup.nl/en/book/9789053566312/the-last-great-american-picture-show,"Elsaesser, Thomas, et al, editors. The Last Great American Picture Show: New Hollywood Cinema in the 1970s. Amsterdam UP, 2004.","https://epdf.pub/the-last-great-american-picture-show-new-hollywood-cinema-in-the-1970s-film-cult.html

https://archive.org/details/The_Last_Great_American_Picture_Show_New_Hollywood_Cinema_in_the_1970s_Thomas_El",,https://www.google.com/books/edition/The_Last_Great_American_Picture_Show/p-xgdo_-5XEC?hl=en&gbpv=0,https://www.goodreads.com/book/show/620590.The_Last_Great_American_Picture_Show,http://www.worldcat.org/oclc/909893053,,"McDonagh, Maitland - The Exploitation Generation; Or: How Marginal Movies Came in from the Cold

Jones, Kent - ""The Cylinders Were Whispering My Name"": The Films of Monte Hellman
・Beast from Haunted Cave (1959)
・Silent Night, Deadly Night 3: Better Watch Out! (1989)
・The Terror (1963)

Hoberman, J. - Nashville Contra Jaws
Or ""The Imagination of Disaster"" Revisited
・Jaws (1975)

Keathley, Christian - Trapped in the Affection Image: Hollywood's Post-traumatic Cycle (1970-1976)
・Deliverance (1972)
・Jaws (1975)

Robnik, Drehli - Allegories of Post-Fordism in 1970s New Hollywood: Countercultural Combat Films, Conspiracy Thrillers as Genre Recycling
・Coma (1978)
・Westworld (1973)","1970s, Hollywood, war, Roger Corman, exploitation, history, politics, Vietnam War",,
Film Remakes as Ritual and Disguise: From Carmen to Ripley,"Zanger, Anat","9789053567845 (paperback)
9789053567852 (hardcover)",2006,Amsterdam University Press,,https://www.jstor.org/stable/j.ctt46mtk0,"Zanger, Anat. Film Remakes as Ritual and Disguise: From Carmen to Ripley. Amsterdam UP, 2006.","https://www.jstor.org/stable/j.ctt46mtk0

https://epdf.pub/film-remakes-as-ritual-and-disguise-from-carmen-to-ripley-amsterdam-university-p.html",,https://www.google.com/books/edition/Film_Remakes_as_Ritual_and_Disguise/eDm0NWZujrgC?hl=en&gbpv=0,https://www.goodreads.com/book/show/9452587-film-remakes-as-ritual-and-disguise,http://www.worldcat.org/oclc/85479398,,"Alien3 (1992)
Psycho (1960)
Psycho (1998)","remakes, Hitchcock, Ellen Ripley, philosophy",,
Making European Cult Cinema: Fan Enterprise in an Alternative Economy,"Carter, Oliver","9789089649935 (hardcover)
9789048529063 (ebook)",2018,Amsterdam University Press ,,https://www.aup.nl/en/book/9789089649935/making-european-cult-cinema,"Carter, Oliver. Making European Cult Cinema: Fan Enterprise in an Alternative Economy. Amsterdam UP, 2018.",,,https://www.google.com/books/edition/Making_European_Cult_Cinema/2tqDDwAAQBAJ?hl=en,https://www.goodreads.com/book/show/31573404-making-european-cult-cinema,http://www.worldcat.org/oclc/1077748457,,,"Europe, cult, giallo, fan culture, zines, home video",,
The Uncanny Child in Transnational Cinema: Ghosts of Futurity at the Turn of the Twenty-First Century,"Balanzategui, Jessica","9789462986510 (hardcover)
9789048537792 (ebook)",2018,Amsterdam University Press ,,https://www.aup.nl/en/book/9789462986510/the-uncanny-child-in-transnational-cinema,"Balanzategui, Jessica. The Uncanny Child in Transnational Cinema: Ghosts of Futurity at the Turn of the Twenty-First Century. Amsterdam UP, 2018.",,,https://www.google.com/books/edition/_/dxSEDwAAQBAJ?hl=en&sa=X&ved=2ahUKEwjMv9TIg5brAhWhhXIEHdVGBEgQ7_IDMBF6BAgOEAI,https://www.goodreads.com/book/show/39105441-the-uncanny-child-in-transnational-cinema,http://www.worldcat.org/oclc/1107329788,"Author Balanzategui applies the Freudian concept of the uncanny, an eerie patchwork between the familiar and unfamiliar, to interpret horror films featuring ghostly or supernatural children. Spooky kids, as she demonstrates, are typically depicted as victims of long-ago traumas, who haunt the present as ""a challenge to the entrenched security, coherence, and power of adult knowledge and discourse.""]""

Balanzategui begins with well-known examples of children in 1980s American horror cinema. These are not the Satanically possessed children of the 1970s (The Exorcist, etc.) -- they remain completely human, yet also ""Other,"" and cause psychological entanglements with adults, such as Danny and his father in The Shining (1980). This and other key films (The Changeling, Poltergeist) also draw upon classic Freudian concepts such as doubling and traumatic repetition, reflecting shifting social structures and greater autonomy of children as economic agents. By the end of the 1990s, spirituality and the drive to find one's ""inner child"" had invaded American popular culture, bringing us cinematic children such as Cole in The Sixth Sense (1999), who guides oblivious adults through their concealed pasts and personal traumas.

The author also takes up the particularly striking use of uncanny children in films from two different areas of the world: Spain and Japan. In Spain, directors such as Guillermo del Toro (The Devil's Backbone) have chosen to grapple with the nation's collective memory of Francoist violence through the figure of a child seer who is caught between worlds. In Japan, starting with Ringu (1998) and the resulting J-horror boom, filmmakers have also focused on ghostly girls and boys. Balanzategui suggests this reflects national unease after the slump that followed the go-go midcentury Japanese economy. Sadako and others like her, especially as mediated through soon-to-be-obsolete technology like videotapes, are also a remodelling of the ""internal alien,"" or an unfamiliar or unwanted second self.

Finally, Balanzategui comments on certain international co-productions and remakes (The Ring, e.g.), which have tended to uproot the supernatural child from its home in a particular place. Such children have become a ""key unifying trope"" of horror films around the world at the turn of the 2000s, reflecting both millennial anxieties and a ""globally resonant shift in conceptualizations of childhood.""","The Bad Seed (1956)
The Changeling (1980)
Darkness (2002)
The Devil's Backbone (2001)
The Exorcist (1973)
Fragile (2005)
Insidious (2010)
Ju-on (video) (2000)
Ju-on: The Curse 2 (video) (2000) 
Ju-on: The Grudge (2002)
The Nameless (Los sin nombre) (1999)
The Omen (1976)
The Orphange (2007)
The Others (2001)
Poltergeist (1982)
Raise Ravens (Cría Cuervos) (1976)
The Ring (2002)
Ringu (1998)
Ringu 2 (1999)
Ringu 0: Bâsudei (2000)
The Shining (1980)
The Sixth Sense (1999)
The Spirit of the Beehive (1973)
Stir of Echoes (1999)
Who Can Kill a Child? (¿Quién puede matar a un niño?) (1976)","child, children, ghosts, haunting, Freud, trauma,
psychoanalysis, parents, Spain, Spanish, war, Guillermo del Toro, Japan, Asia, J-horror, remakes, technology",,BALJES2018
"Dark Carnival: The Secret World of Tod Browning, Hollywood's Master of the Macabre","Skal, David J. and Elias Savada",9780385474061 (hardcover),1995,Anchor Books,,Out of print,"Skal, David J., and Elias Savada. Dark Carnival: The Secret World of Tod Browning, Hollywood's Master of the Macabre. Anchor Books, 1995.",,,https://www.google.com/books/edition/Dark_Carnival/Q2pZAAAAMAAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/395830.Dark_Carnival,http://www.worldcat.org/oclc/895647854,,,"Tod Browning, classics, biography",,SKADAV1995
The Celluloid Muse: Hollywood Directors Speak,"Higham, Charles and Joel Greenberg",9780207951237 (hardcover),1969,Angus & Robertson,Signet (1972),Out of print,"Higham, Charles and Joel Greenberg. The Celluloid Muse: Hollywood Directors Speak. 1969. Signet, 1972.",https://archive.org/details/celluloidmusehol00high [Internet Archive Lending Library],,https://www.google.com/books/edition/The_Celluloid_Muse/a2I3AAAAIAAJ?kptab=editions&sa=X&ved=2ahUKEwjR4rKV5ujrAhX-lnIEHTfkA_4QmBYwAHoECAEQCA,https://www.goodreads.com/book/show/25166722-the-celluloid-muse,http://www.worldcat.org/oclc/1086141844,,,"Alfred Hitchcock, Jacques Tourneur, Rouben Mamoulian",,
The Last New Wave: The Australian Film Revival,"Stratton, David",9780207141461 (hardcover),1980,Angus & Robertson,,Out of print,"Stratton, David. The Last New Wave: The Australian Film Revival. Angus & Robertson, 1980.",https://archive.org/details/lastnewwaveaustr0000stra [Internet Archive Lending Library],,https://www.google.com/books/edition/The_Last_New_Wave/1oVZAAAAMAAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/5739802-the-last-new-wave,http://www.worldcat.org/oclc/222063935,,,"Australia, Peter Weir",,
